Correlation term,Integral,integrand w other com ommitted
<04><12><35>,-(0ta)(0ab),"-[(b*(Gab)),(0*(GTt0-GTtb))]b[(a*(Gta)),ap]+[(a*(Gta)),a[(b*(Gab)),(0*(GTt0-GTtb))]bp]"
<04><12><53>,-(0ta)(0ab),"[(b*(-GTba)),(0*(GTt0-GTtb))][(a*(Gta)),ap]b-[(a*(Gta)),a[(b*(-GTba)),(0*(GTt0-GTtb))]pb]"
<04><21><35>,-(0ta)(0ab),"-[(a*(-GTat)),[(b*(Gab)),(0*(GTt0-GTtb))]b]pa "
<04><21><53>,-(0ta)(0ab),"-[(b*(-GTba)),(0*(GTt0-GTtb))][(a*(-GTat)),pa]b+[(a*(-GTat)),[(b*(-GTba)),(0*(GTt0-GTtb))]pba]"
<04><13><25>,-(0ta)(0ab),"-(0*(GTt0-GTtb))[a,[(b*(Gab-G0b)),(a*(GTab))]bp]+[a,[(b*(Gab-G0b)),(a*(GTab))(0*(GTt0-GTtb))]bp]-[(b*(Gab-G0b)),(0*(GTt0-GTtb))]b[a,(a*(GTab))p]"
<04><13><52>,-(0ta)(0ab),"(0*(GTt0-GTtb))[a,[(b*(GTb0-GTba)),(a*(GTab))]pb]-[a,[(b*(GTb0-GTba)),(a*(GTab))(0*(GTt0-GTtb))]pb]+[(b*(GTb0-GTba)),(0*(GTt0-GTtb))][a,(a*(GTab))p]b"
<04><31><25>,-(0ta)(0ab),"-[a,[(b*(Gab-G0b)),(0*(GTt0-GTtb))]b]p(a*(-Gba))-[a,(0*(GTt0-GTtb))]bp[(b*(Gab-G0b)),(a*(-Gba))]"
<04><31><52>,-(0ta)(0ab),"[a,(0*(GTt0-GTtb))]pb[(b*(GTb0-GTba)),(a*(-Gba))]+[a,[(b*(GTb0-GTba)),(0*(GTt0-GTtb))]pb(a*(-Gba))]-[(b*(GTb0-GTba)),(0*(GTt0-GTtb))][a,p(a*(-Gba))]b"
<04><15><23>,-(0ta)(0ab),"-[(b*(Gtb-Gab)),(0*(GTt0-GTtb))]b[a,(a*(GTab))p]+(0*(GTt0-GTtb))[a,(a*(GTab))[(b*(Gtb-Gab)),bp]]-(0*(GTt0-GTtb))[(b*(Gtb-Gab)),[a,(a*(GTab))bp]]-[a,(a*(GTab))(0*(GTt0-GTtb))[(b*(Gtb-Gab)),bp]]+[(b*(Gtb-Gab)),[a,(a*(GTab))(0*(GTt0-GTtb))bp]]"
<04><15><32>,-(0ta)(0ab),"(0*(GTt0-GTtb))[(b*(Gtb-Gab)),[a,b]p(a*(-Gba))]+[a,(0*(GTt0-GTtb))][(b*(Gtb-Gab)),bp](a*(-Gba))-[(b*(Gtb-Gab)),[a,(0*(GTt0-GTtb))b]p(a*(-Gba))]"
